rule_level,rule_id_encoded,rule_firedtimes,has_mitre,mitre_tactic_count,rule_freq_5min,distinct_srcip_5min,hour_of_day,is_weekend,has_sqli_pattern,sqli_keyword_count,has_cve_pattern,cve_count,is_low_signal,group_attack,group_sshd,group_web,group_firewall,group_authentication_failed,group_authentication_failures,group_syscheck,group_malware,group_recon,group_sql_injection,group_sqli,group_mssql,group_mysql,group_postgresql,group_database,group_vulnerability-detector,group_dos,group_ddos,_meta_rule_id,_meta_rule_description,_meta_agent_name,_meta_srcip,_meta_dstip,label,category
3,591,1,0,0,1,1,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,591,Log file rotated.,xxx,,,0,other
3,591,2,0,0,2,1,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,591,Log file rotated.,xxx,,,0,other
3,591,3,0,0,3,1,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,591,Log file rotated.,xxx,,,0,other
3,591,4,0,0,4,1,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,591,Log file rotated.,xxx,,,0,other
3,591,5,0,0,5,1,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,591,Log file rotated.,xxx,,,0,other
3,652,1,0,0,1,1,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,652,Host Unblocked by firewall-drop Active Response,xxx,,,0,other
5,5710,1,1,2,1,1,0.0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5710,sshd: Attempt to login using a non-existent user,xxx,45.55.159.241,,1,bruteforce
5,5710,2,1,2,2,1,0.0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5710,sshd: Attempt to login using a non-existent user,xxx,45.55.159.241,,1,bruteforce
3,651,1,0,0,1,1,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,651,Host Blocked by firewall-drop Active Response,xxx,45.55.159.241,,0,other
3,651,2,0,0,2,1,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,651,Host Blocked by firewall-drop Active Response,xxx,45.55.159.241,,0,other
3,651,3,0,0,3,1,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,651,Host Blocked by firewall-drop Active Response,xxx,45.55.159.241,,0,other
3,651,4,0,0,4,1,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,651,Host Blocked by firewall-drop Active Response,xxx,45.55.159.241,,0,other
5,31101,1,0,0,1,1,0.0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31101,Web server 400 error code.,xxx,8.220.202.246,,1,web
5,31101,2,0,0,2,1,0.0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31101,Web server 400 error code.,xxx,8.220.202.246,,1,web
3,651,5,0,0,5,1,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,651,Host Blocked by firewall-drop Active Response,xxx,,,0,other
3,651,6,0,0,6,1,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,651,Host Blocked by firewall-drop Active Response,xxx,,,0,other
5,5710,3,1,2,3,1,0.0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5710,sshd: Attempt to login using a non-existent user,xxx,45.55.159.241,,1,bruteforce
5,5710,4,1,2,4,1,0.0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5710,sshd: Attempt to login using a non-existent user,xxx,45.55.159.241,,1,bruteforce
3,651,7,0,0,7,1,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,651,Host Blocked by firewall-drop Active Response,xxx,45.55.159.241,,0,other
3,651,8,0,0,8,1,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,651,Host Blocked by firewall-drop Active Response,xxx,45.55.159.241,,0,other
3,651,9,0,0,9,1,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,651,Host Blocked by firewall-drop Active Response,xxx,45.55.159.241,,0,other
